x,y,pearson,spearman
CurrDistAcc,DeltaCost,0.66431203338771,0.8651085756348915
CurrDistAcc,NatDistAcc,0.9833134880817991,0.9949787055050213
DeltaCost,NatDistAcc,0.7892034417647393,0.9042743959641466
