decimalLongitude,decimalLatitude
-95.840822,33.51053799999999
-97.697792,32.23294000000001
-97.361058,30.152020000000025
-96.276172,29.728045999999992
-97.19813300000001,30.039741999999986
-97.025043,30.105706000000055
-96.488052,33.15012499999999
-95.860815,30.28479200000013
-95.988112,30.365053999999986
-94.093819,30.25334299999997
-94.196011,30.232522999999965
-97.573447,30.12019700000001
-97.55317200000002,30.32089900000003
-97.772526,30.321165999999984
-94.043372,31.021292999999957
-98.60543600000001,29.894444999999973
-94.77744,29.309286999999962
-96.635874,30.933458999999946
-93.778773,30.02056000000001
-94.300948,30.667597999999956
-94.86429800000002,31.338060000000006
-94.011094,29.827053000000003
-94.663067,31.45845299999995
-94.495389,32.852349999999994
-97.735665,31.19922099999998
-97.77295,30.653914000000015
-97.638338,30.74592599999996
-96.764277,32.60528500000005
-97.280518,32.95587900000003
-96.793477,32.798911000000004
-95.496157,30.736924999999992
-97.627968,30.605160999999953
-97.977881,30.09074799999998
-96.703965,33.66035999999998
-97.754949,30.775527000000018
-95.147714,29.546282000000026
-95.629401,29.986851999999974
-95.722104,29.909299999999984
-96.832644,33.395922999999975
-95.618693,29.88240799999999
-96.857621,29.87565500000003
-96.493483,33.311322000000004
-96.783287,33.14225599999998
-95.485573,29.480553999999994
-96.840533,30.93118400000003
-97.723359,30.50598400000001
-94.368712,29.660351000000034
-98.336812,29.49843100000003
-98.457113,33.937235000000015
-96.595916,32.813757999999964
-94.58082,30.05383700000001
-97.13678799999998,33.36474600000004
-95.925144,29.762323999999946
-96.38727600000001,29.704110000000014
-95.907429,32.935790000000026
-94.999449,30.826072999999965
-97.440346,30.40363800000004
-96.91474800000002,33.265862000000006
-94.64194,31.55839299999997
-96.90699300000001,29.025813999999944
-95.753191,29.62650400000004
-96.584309,32.953289
-97.647914,30.85123999999997
-95.790574,30.462075000000063
-97.130512,31.32657400000002
-98.270893,29.57450600000003
-97.449398,30.239271999999904
-94.04568,32.669895000000025
-96.436907,32.58074400000004
-97.58445600000002,33.57391799999998
-97.336764,30.48458499999995
-97.849371,32.38878000000004
-95.738968,29.76945099999997
-95.25021,29.050243999999985
-93.938276,29.700058999999932
-96.519257,32.681092000000014
-96.82066,32.70685600000002
-96.674859,31.306047999999958
-96.503385,28.811729000000025
-96.468026,32.08880299999999
-96.017495,30.249627999999962
-97.643074,32.560137
-97.237689,31.781475000000025
-95.377269,30.195599999999992
-97.158318,32.77764100000007
-95.283755,29.663778000000054
-97.303665,31.029671000000057
-97.31907,33.75849100000003
-95.244574,29.75294200000002
-97.919538,29.961160000000014
-94.99233,29.356901000000043
-97.24491500000002,30.665903000000046
-97.847079,29.832885999999977
-97.531464,32.92234799999994
-97.903152,30.75054499999998
-94.448257,29.58629599999999
-95.384799,29.68361900000006
-97.624905,30.249181999999998
-96.650426,33.10853499999993
-93.899162,30.01521700000001
-97.11494,33.091941000000034
-97.192319,33.580108000000045
-93.876794,30.137978999999994
-95.362217,29.798555000000004
-96.599522,32.153704999999945
-96.458215,30.216129999999968
-95.021948,31.66722399999998
-96.310892,30.649605999999984
-94.69043,29.583802000000038
-97.63198700000001,30.393776999999996
-94.50020800000001,33.33629599999999
-96.379975,33.15350000000001
-94.387251,30.58802099999994
-97.45084,29.405524000000007
-96.669442,32.74228400000002
-97.613092,29.852453000000025
-97.661009,30.991183000000007
-94.341129,32.79342199999994
-95.064652,31.855922999999976
-97.8545,31.197643999999965
-97.367541,28.614589999999918
-97.788646,30.958956999999973
-97.936826,31.070591999999976
-96.994729,32.290031999999975
-94.434939,33.53860199999999
-96.406381,31.209101
-97.16577,30.186057000000012
-94.890572,29.420926000000005
-95.271011,29.542062999999953
-95.455642,30.39102600000005
-97.367855,30.786192000000007
-97.36812,32.86804800000001
-96.854254,28.811299999999925
-94.181761,32.66314199999996
-97.010482,32.66599400000002
-96.611034,29.51817700000001
-97.438359,30.003736999999965
-97.292964,29.84483400000003
-97.516048,31.16033699999998
-98.419159,31.14221900000002
-95.884708,32.734687999999984
-97.97111700000002,32.58326800000001
-98.14794,32.00814900000002
-95.378285,31.58275999999998
-98.502551,32.97109900000006
-96.367062,31.390864999999973
-97.364765,30.58165799999999
-94.541474,30.589465999999987
-94.367758,31.343676999999996
-96.67317,33.535996000000004
-95.753254,29.001872
-95.823518000000007,30.10700100000002
-94.490619,29.789834999999982
-96.220499,30.578226000000008
-96.044249,31.900388999999986
-95.011429,29.450613999999973
-96.018362,30.658053000000006
