gbifID,scientificName,decimalLatitude,decimalLongitude,year,eventDate
5167302869,Lontra canadensis,29.929146,-95.706147,2025,2025-03-08
5166995669,Lontra canadensis,29.025814,-96.906993,2025,2025-05-09
5166921970,Lontra canadensis,29.877127,-95.604662,2025,2025-03-15
5154172898,Lontra canadensis,30.691197,-97.671006,2025,2025-04-10
5154054050,Lontra canadensis,29.626504,-95.753191,2025,2025-05-07
5154024343,Lontra canadensis,32.953289,-96.584309,2025,2025-05-04
5153927177,Lontra canadensis,33.361431,-96.446333,2025,2025-03-14
5153128222,Lontra canadensis,30.85124,-97.647914,2025,2025-05-03
5140337564,Lontra canadensis,30.462075,-95.790574,2025,2025-03-22
5134635251,Lontra canadensis,30.413818,-97.512499,2025,2025-04-21
5134383122,Lontra canadensis,31.326574,-97.130512,2025,2025-03-07
5134341095,Lontra canadensis,30.398002,-97.480765,2025,2025-04-19
5134277855,Lontra canadensis,29.574506,-98.270893,2025,2025-04-06
5134247334,Lontra canadensis,30.285797,-97.575164,2024,2024-04-18
5134061225,Lontra canadensis,29.615032,-94.403124,2016,2016-01-17
5133935234,Lontra canadensis,30.239272,-97.449398,2024,2024-04-13
5133601611,Lontra canadensis,32.669895,-94.04568,2025,2025-03-01
5133564118,Lontra canadensis,32.580744,-96.436907,2025,2025-04-12
5108235643,Lontra canadensis,33.573918,-97.584456,2025,2025-03-27
5108201453,Lontra canadensis,32.960052,-96.487631,2025,2025-03-27
5104611224,Lontra canadensis,33.332611,-97.125557,2025,2025-01-18
5104498275,Lontra canadensis,30.484585,-97.336764,2025,2025-03-21
5104444718,Lontra canadensis,29.824092,-95.623578,2025,2025-02-23
5104439530,Lontra canadensis,32.38878,-97.849371,2025,2025-03-15
5104338403,Lontra canadensis,29.769451,-95.738968,2025,2025-03-12
5100621837,Lontra canadensis,29.95215,-95.80861,2021,2021-01-06
5099525460,Lontra canadensis,29.636111,-94.3725,2005,2005-04-16
5099475721,Lontra canadensis,29.050244,-95.25021,1996,1996-02-01
5099474744,Lontra canadensis,29.700059,-93.938276,1994,1994-02-01
5087956220,Lontra canadensis,29.874546,-95.763234,2025,2025-02-18
5087797498,Lontra canadensis,30.37797,-97.468849,2025,2025-03-05
5087710362,Lontra canadensis,32.681092,-96.519257,2025,2025-03-08
5087667901,Lontra canadensis,32.706856,-96.82066,2025,2025-02-25
5087537173,Lontra canadensis,30.389701,-97.418539,2025,2025-03-01
5087495186,Lontra canadensis,31.306048,-96.674859,2025,2025-03-02
5087468871,Lontra canadensis,30.366465,-97.407298,2020,2020-02-19
5087451964,Lontra canadensis,30.232392,-97.495343,2025,2025-03-02
5087430135,Lontra canadensis,28.811729,-96.503385,2006,2006-02-11
5087389819,Lontra canadensis,32.088803,-96.468026,2025,2025-03-02
5087171140,Lontra canadensis,30.249628,-96.017495,2025,2025-02-26
5087159624,Lontra canadensis,32.560137,-97.643074,2023,2023-11-05
5070063148,Lontra canadensis,31.781475,-97.237689,2025,2025-02-16
5070009107,Lontra canadensis,30.1956,-95.377269,2025,2025-02-17
5070001149,Lontra canadensis,32.982341,-96.484648000000007,2025,2025-02-17
5069963687,Lontra canadensis,32.777641,-97.158318,2025,2025-02-15
5069861310,Lontra canadensis,29.663778,-95.283755,2024,2024-06-15
5069821938,Lontra canadensis,31.029671,-97.303665,2025,2025-02-10
5069775163,Lontra canadensis,33.758491,-97.31907,2025,2025-01-29
5069763024,Lontra canadensis,29.752942,-95.244574,2024,2024-12-14
5064115556,Lontra canadensis,30.758535,-97.793005,2025,2025-02-09
5064097180,Lontra canadensis,29.96116,-97.919538,2025,2025-01-30
5064002990,Lontra canadensis,30.063429,-98.025625,2025,2025-02-09
5063817229,Lontra canadensis,29.356901,-94.99233,2024,2024-02-24
5063807955,Lontra canadensis,30.665903,-97.244915,2025,2025-02-02
5063690683,Lontra canadensis,30.327334,-96.034052,2025,2025-01-31
5063507955,Lontra canadensis,29.832886,-97.847079,2025,2025-01-27
5063468427,Lontra canadensis,32.922348,-97.531464,2025,2025-01-23
5063053534,Lontra canadensis,29.811904,-97.841042,2025,2025-01-15
5062473158,Lontra canadensis,30.750545,-97.903152,2021,2021-06-27
5019441242,Lontra canadensis,29.586296,-94.448257,1987,1987-02-18
5008361301,Lontra canadensis,29.683619,-95.384799,2024,2024-12-14
5008263372,Lontra canadensis,30.249182,-97.624905,2024,2024-10-20
5008220475,Lontra canadensis,33.108535,-96.650426,2023,2023-07-10
5007788082,Lontra canadensis,30.015217,-93.899162,2025,2025-01-03
5007667179,Lontra canadensis,33.091941,-97.11494,2024,2024-12-29
5007553706,Lontra canadensis,33.580108,-97.192319,2025,2025-01-02
5007340237,Lontra canadensis,33.146317,-97.065809,2024,2024-12-27
5007169235,Lontra canadensis,30.351792,-97.758686,2024,2024-12-27
5007045580,Lontra canadensis,30.08786,-97.350875,2024,2024-12-18
5007026845,Lontra canadensis,30.137979,-93.876794,2025,2025-01-03
5007023025,Lontra canadensis,29.798555,-95.362217,2024,2024-07-04
5006812287,Lontra canadensis,30.648465,-97.791894,2025,2025-01-01
5006711337,Lontra canadensis,29.828526,-95.709223,2024,2024-09-08
4994354378,Lontra canadensis,32.153705,-96.599522,2024,2024-12-06
4994114445,Lontra canadensis,30.21613,-96.458215,2024,2024-12-08
4993858623,Lontra canadensis,31.667224,-95.021948,2024,2024-12-02
4993842249,Lontra canadensis,30.649606,-96.310892,2024,2024-12-09
4987709688,Lontra canadensis,29.849556,-97.934825,2024,2024-11-24
4982373010,Lontra canadensis,29.583802,-94.69043,2024,2024-11-17
4982228027,Lontra canadensis,30.393777,-97.631987,2024,2024-04-10
4981992649,Lontra canadensis,29.719912,-95.697988,2023,2023-03-03
4981982309,Lontra canadensis,29.615278,-95.782236,2023,2023-03-03
4980581608,Lontra canadensis,33.336296,-94.500208,2024,2024-11-11
4978431774,Lontra canadensis,29.910469,-95.660974,2024,2024-10-08
4976611505,Lontra canadensis,29.897578,-97.969981,2024,2024-10-28
4976593775,Lontra canadensis,29.935435,-95.627215,2024,2024-10-06
4976510151,Lontra canadensis,33.1535,-96.379975,2024,2024-10-25
4976339413,Lontra canadensis,30.588021,-94.387251,2024,2024-10-07
4974124379,Lontra canadensis,29.890895,-95.600874,2024,2024-10-06
4973848134,Lontra canadensis,29.900739,-95.704327,2024,2024-09-30
4954740789,Lontra canadensis,30.133523,-97.664211,2024,2024-10-09
4954520174,Lontra canadensis,33.198267,-96.752458,2024,2024-10-12
4954259561,Lontra canadensis,29.405524,-97.45084,2024,2024-10-11
4953013398,Lontra canadensis,32.742284,-96.669442,2024,2024-10-04
4946510663,Lontra canadensis,29.852453,-97.613092,2023,2023-09-26
4946478490,Lontra canadensis,30.854004,-97.69072,2024,2024-03-02
